model_name,tokens
EleutherAI/pythia-14m,300B
EleutherAI/pythia-31m,300B
EleutherAI/pythia-70m,300B
EleutherAI/pythia-160m,300B
EleutherAI/pythia-410m,300B
EleutherAI/pythia-1b,300B
EleutherAI/pythia-1.4b,300B
EleutherAI/pythia-2.8b,300B
EleutherAI/pythia-6.9b,300B
EleutherAI/pythia-12b,300B
facebook/opt-125m,180B
facebook/opt-350m,180B
facebook/opt-1.3b,180B
facebook/opt-2.7b,180B
facebook/opt-6.7b,180B
facebook/opt-13b,180B
meta-llama/Llama-2-7b-hf,2T
meta-llama/Llama-2-13b-hf,2T
meta-llama/Meta-Llama-3-8B,15T
meta-llama/Meta-Llama-3.1-8B,15T
huggyllama/llama-7b,1T
huggyllama/llama-13b,1T
tiiuae/falcon-7b,1.5T
tiiuae/falcon-11B,5T
tiiuae/Falcon3-7B-Base,14T
cerebras/Cerebras-GPT-111M,371B
cerebras/Cerebras-GPT-256M,371B
cerebras/Cerebras-GPT-590M,371B
cerebras/Cerebras-GPT-1.3B,371B
cerebras/Cerebras-GPT-2.7B,371B
cerebras/Cerebras-GPT-6.7B,371B
cerebras/Cerebras-GPT-13B,371B
Qwen/Qwen-1_8B,2.2T
Qwen/Qwen-7B,2.4T
Qwen/Qwen-14B,3T
Qwen/Qwen1.5-0.5B,3T
Qwen/Qwen1.5-1.8B,3T
Qwen/Qwen1.5-4B,3T
Qwen/Qwen1.5-7B,3T
Qwen/Qwen1.5-14B,3T
Qwen/Qwen2-0.5B,12T
Qwen/Qwen2-1.5B,7T
Qwen/Qwen2-7B,7T
Qwen/Qwen2.5-0.5B,18T
Qwen/Qwen2.5-1.5B,18T
Qwen/Qwen2.5-3B,18T
Qwen/Qwen2.5-7B,18T
Qwen/Qwen2.5-14B,18T
Qwen/Qwen3-0.6B-Base,36T
Qwen/Qwen3-1.7B-Base,36T
Qwen/Qwen3-4B-Base,36T
Qwen/Qwen3-8B-Base,36T
Qwen/Qwen3-14B-Base,36T
google/gemma-2b,2T
google/gemma-7b,6T
01-ai/Yi-6B,3.1T
EleutherAI/gpt-neo-125m,300B
EleutherAI/gpt-neo-1.3B,380B
EleutherAI/gpt-neo-2.7B,420B
EleutherAI/gpt-j-6b,402B
bigscience/bloom-560m,341B
bigscience/bloom-1b1,341B
bigscience/bloom-1b7,341B
bigscience/bloom-3b,341B
bigscience/bloom-7b1,341B